"id_hab_int_soc";"desc_hab_int_soc";"cod_pro_int_soc";"desc_pro_int_soc"
"1";"Compartilha brinquedos e brincadeiras?";"NEIS2";"Ano Novo, turma nova"
"1";"Compartilha brinquedos e brincadeiras?";"NEIS3";"Hora do intervalo"
"2";"Compartilha interesses?";"NEIS2";"Ano Novo, turma nova"
"2";"Compartilha interesses?";"NEIS3";"Hora do intervalo"
"3";"Controla suas emoções? (Autorregula-se)";"EIS01";"Emocionômetro"
"3";"Controla suas emoções? (Autorregula-se)";"EIS03";"Nomeando as emoções"
"3";"Controla suas emoções? (Autorregula-se)";"EIS04";" A professora faltou"
"3";"Controla suas emoções? (Autorregula-se)";"NEIS2";"Ano Novo, turma nova"
"3";"Controla suas emoções? (Autorregula-se)";"NEIS3";"Hora do intervalo"
"4";"Coopera em situações que envolvem interação?";"EIS04";" A professora faltou"
"4";"Coopera em situações que envolvem interação?";"NEIS2";"Ano Novo, turma nova"
"4";"Coopera em situações que envolvem interação?";"NEIS3";"Hora do intervalo"
"5";"Demonstra e compartilha afeto?";"EIS01";"Emocionômetro"
"5";"Demonstra e compartilha afeto?";"EIS03";"Nomeando as emoções"
"5";"Demonstra e compartilha afeto?";"EIS04";" A professora faltou"
"5";"Demonstra e compartilha afeto?";"NEIS3";"Hora do intervalo"
"6";"Demonstra interesse nas atividades propostas?";"EIS02";"Eu como sou!"
"6";"Demonstra interesse nas atividades propostas?";"EIS04";" A professora faltou"
"6";"Demonstra interesse nas atividades propostas?";"NEIS2";"Ano Novo, turma nova"
"7";"Expressa suas emoções? ";"EIS01";"Emocionômetro"
"7";"Expressa suas emoções? ";"EIS02";"Eu como sou!"
"7";"Expressa suas emoções? ";"EIS03";"Nomeando as emoções"
"7";"Expressa suas emoções? ";"EIS04";" A professora faltou"
"7";"Expressa suas emoções? ";"NEIS2";"Ano Novo, turma nova"
"7";"Expressa suas emoções? ";"NEIS3";"Hora do intervalo"
"8";"Identifica/reconhece a emoção do outro?";"EIS01";"Emocionômetro"
"8";"Identifica/reconhece a emoção do outro?";"EIS03";"Nomeando as emoções"
"9";"Identifica/reconhece suas emoções?";"EIS01";"Emocionômetro"
"9";"Identifica/reconhece suas emoções?";"EIS03";"Nomeando as emoções"
"9";"Identifica/reconhece suas emoções?";"EIS04";" A professora faltou"
"9";"Identifica/reconhece suas emoções?";"NEIS2";"Ano Novo, turma nova"
"10";"Inicia e mantém interação em situações sociais?";"EIS02";"Eu como sou!"
"10";"Inicia e mantém interação em situações sociais?";"EIS03";"Nomeando as emoções"
"10";"Inicia e mantém interação em situações sociais?";"EIS04";" A professora faltou"
"10";"Inicia e mantém interação em situações sociais?";"NEIS2";"Ano Novo, turma nova"
"10";"Inicia e mantém interação em situações sociais?";"NEIS3";"Hora do intervalo"
"11";"Interage com o(a) professor(a), seus colegas e outras pessoas de seu convívio escolar?";"EIS01";"Emocionômetro"
"11";"Interage com o(a) professor(a), seus colegas e outras pessoas de seu convívio escolar?";"EIS02";"Eu como sou!"
"11";"Interage com o(a) professor(a), seus colegas e outras pessoas de seu convívio escolar?";"EIS03";"Nomeando as emoções"
"11";"Interage com o(a) professor(a), seus colegas e outras pessoas de seu convívio escolar?";"EIS04";" A professora faltou"
"11";"Interage com o(a) professor(a), seus colegas e outras pessoas de seu convívio escolar?";"NEIS2";"Ano Novo, turma nova"
"11";"Interage com o(a) professor(a), seus colegas e outras pessoas de seu convívio escolar?";"NEIS3";"Hora do intervalo"
"12";"Interage, fazendo contato visual?";"EIS01";"Emocionômetro"
"12";"Interage, fazendo contato visual?";"EIS02";"Eu como sou!"
"12";"Interage, fazendo contato visual?";"EIS03";"Nomeando as emoções"
"12";"Interage, fazendo contato visual?";"EIS04";" A professora faltou"
"13";"Reconhece e entende seus sentimentos, pensamentos e comportamentos? ";"EIS01";"Emocionômetro"
"13";"Reconhece e entende seus sentimentos, pensamentos e comportamentos? ";"EIS02";"Eu como sou!"
"13";"Reconhece e entende seus sentimentos, pensamentos e comportamentos? ";"EIS03";"Nomeando as emoções"
"14";"Relaciona-se, estabelecendo vínculos? ";"EIS01";"Emocionômetro"
"14";"Relaciona-se, estabelecendo vínculos? ";"EIS02";"Eu como sou!"
"14";"Relaciona-se, estabelecendo vínculos? ";"EIS04";" A professora faltou"
"14";"Relaciona-se, estabelecendo vínculos? ";"NEIS2";"Ano Novo, turma nova"
"14";"Relaciona-se, estabelecendo vínculos? ";"NEIS3";"Hora do intervalo"
"15";"Respeita regras em jogos e brincadeiras?";"EIS03";"Nomeando as emoções"
"15";"Respeita regras em jogos e brincadeiras?";"NEIS3";"Hora do intervalo"
"16";"Respeita regras sociais?";"NEIS2";"Ano Novo, turma nova"
"16";"Respeita regras sociais?";"NEIS3";"Hora do intervalo"
"17";"Responde a interações? ";"EIS01";"Emocionômetro"
"17";"Responde a interações? ";"EIS02";"Eu como sou!"
"17";"Responde a interações? ";"EIS04";" A professora faltou"
"17";"Responde a interações? ";"NEIS2";"Ano Novo, turma nova"
"17";"Responde a interações? ";"NEIS3";"Hora do intervalo"
"18";"Solicita ajuda, quando necessário?";"EIS01";"Emocionômetro"
"18";"Solicita ajuda, quando necessário?";"EIS02";"Eu como sou!"
"18";"Solicita ajuda, quando necessário?";"EIS04";" A professora faltou"
